,Unnamed: 0,name,id,top_kpop,genre,followers,name_lower
372,815, YOOARA,5iAn0QrNJEo8uYvHPfdYzi,0,[],23,yooara
113,205, YOOK SUNGJAE,7mFGOWJEkdlJBCXcJ5EWi9,0,"['korean pop', 'korean r&b']",63792,yook sungjae
116,215, YOOK SUNGJAE (BTOB),2KbOz7b91wiUpnv34Twd9f,0,[],109,yook sungjae (btob)
493,1084, Yoon,2vnR3mxGF1X2Q8D5ichEWP,0,[],697,yoon
227,476, Yoon Do Hyun,6KsmQPHXE3qhzNNBPSZ0eB,0,"['k-rock', 'korean pop', 'korean singer-songwriter']",29798,yoon do hyun
77,143,YOON DU JUN,0bjyZMw6TzPhXSp2PoKXx7,0,[],9747,yoon du jun
331,736,YOON GUN,15dggb3DQ4suwIfBmqb3nm,0,[],2161,yoon gun
373,817, Yoon Han (Pop Pianist),5bRCVFekTRnptEuJ0ZxTtf,0,[],4,yoon han (pop pianist)
66,122,Young Jae (B.A.P),54JXhmpGDN8NdAIq44z4gt,0,[],4483,young jae (b.a.p)
232,489, Young Ji,2QbyHFJW5QoKsUYx96SiEy,0,[],38,young ji
157,318,YUMDDA,0su5mZ6qhvOUhz7ckEx8rR,0,['k-rap'],48259,yumdda
208,447, Yuna,0kBGpEdFPbsrVkFgUQ1RQv,0,['korean ost'],6769,yuna
337,746, Yuna Kim,4wAssbReFLMBLkLCORabCM,0,[],703,yuna kim
192,419, Yunmi,5cMhtkjEpkxbB3anjR027M,0,[],9,yunmi
139,278, Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,0,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",10379682,zara larsson
67,123, Zelo,7F204LAlfQltTujbEj9wvu,0,[],3006,zelo
145,290, ZENE THE ZILLA,1MMbv4LTpwbh2APtXuwaZN,0,"['k-rap', 'korean hyperpop', 'korean trap', 'korean underground rap']",27869,zene the zilla
445,985, ZHU,28j8lBWDdDSHSSt5oPlsX2,0,"['edm', 'electro house']",819989,zhu
193,421, Zick Jasper,3xtHMz3z0Km6qXV3yhcfQP,0,[],389,zick jasper
