,name,id,top_kpop,genre,followers
2723, LEE HAE SOL,5xZzq9Bk8IociNfF0TfHdf,0,[],59
2730, taalthechoi,0Wz3NC2nQgeV1titlYTj4C,0,[],84
2737, Coi Leray,6AMd49uBDJfhf30Ak2QR5s,0,"['new jersey underground rap', 'rap', 'trap queen']",518013
2744, iann dior,6ASri4ePR7RlsvIQgWPJpS,0,"['melodic rap', 'pop', 'pop rap', 'rap']",1709223
2751,salem ilese,3QJUFtGBGL05vo0kCJZsmT,0,['modern indie pop'],303610
2752, TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,1,"['k-pop', 'k-pop boy group']",7723015
2753, Alan Walker,7vk5e3vY1uw9plTHJAMwjN,0,['electro house'],37381056
2758, Lilas Ikuta,1qM11R4ylJyQiPJ0DffE9z,0,"['j-pop', 'japanese teen pop']",388303
2765, MOD SUN,3u2R8st1bb6zfBqNWceRXG,0,"['minnesota hip hop', 'pop punk', 'pop rap']",272799
2772, Outlaw,3NPCPm4joO9YgPf8jXPSF3,0,[],0
2779, Babylon,3P16F9giedxmc5238b66bo,0,"['j-metal', 'k-rap', 'korean r&b']",31650
2786, Vasco,3z6WtIVxUiLNKDrUchJGrX,0,['danish electropop'],749
2793, Mayson The Soul,6cbHT70yhbyGwTQKJOH2iY,0,[],1109
2807, Do Hee,6amUcIkH1FzHNdazkXPJfu,0,[],1
2814, Andrew Choi,7JBaynR7JFeniONqbnn1U4,0,[],251
2821, Hwayoung,79bfJJgSFky7U35QruEWMV,0,[],8
2828, 이현,5Lz362V3wxefNeMeCFeVMm,0,[],0
2842, NARSHA,1OWVHV30ai3o8cgOTBVd72,0,['k-pop'],13353
2849, HWAYOUNG,4zVPLQ7lxEfEb3YTkymd7L,0,[],1
2856, Hwayoung,11yBes7jdmXosQVHbbR8Py,0,[],0
2863, 김화영,1pEirsoHYEMB0rxhzNkXeU,0,[],0
2870, Jun Hyo Seong,73RRzEpK7IQexOhC0CuTRZ,0,['k-pop'],84557
2871, Han sun hwa,3zfGhm4kLXQ8o4xJewVGO5,0,[],0
2877, Park Hwayobi,5oihNt5Zntgh1XIsDqOGq5,0,"['korean pop', 'korean singer-songwriter']",15628
2891, OKDAL,43qbEc59aqLydrvuWsrNoE,0,['k-indie'],32683
2905, HOONY,3d3m8vJE5Vr38UTAMWs66v,0,[],96
2912, Yoon,2vnR3mxGF1X2Q8D5ichEWP,0,[],696
2919,MINO,3gc3OYh4QZJzbsi2KNyHFK,0,[],5684
2920, TAEHYUN,0ojbIKPNnbwRqKpAJxcIaP,0,[],18354
2926,MINO,3ytV7vc4ZuwGgwaOuWvkk8,0,"['k-pop', 'k-rap']",1066112
2927, Nam Tae Hyun,2LQ4Ay1ClURp2tX1eFJiWh,0,[],2764
2933, Akon,0z4gvV4rjIZ9wHck67ucSV,0,['dance pop'],3666721
2940, School Gyrls,4zfTcqK4VudzZgd0T8g1Fi,0,['post-teen pop'],31087
2947, Dynamicduo,4nvFFLtv7ZqoTr83387uK4,0,"['k-rap', 'korean pop', 'korean r&b']",150577
2948, San E,61MMiylth1injW39oZBuYB,0,"['k-pop', 'k-rap', 'korean pop']",85814
2961, Zior Park,4gkSpcyfxtm5OFoZCYWTeD,0,[],28997
2968, Rain,5L4EafeXwZ0stGuPtGr5Tz,0,['classic k-pop'],115651
2982, WENDY,0FRUZvZNPzM3YJMABJxf2K,0,"['k-pop', 'korean pop']",818507
3003, JeHwi,269A1U75KOCFyPAiXq4sjT,0,[],11264
3010, Jvcki Wai,4bjcB3ZKiHgPzJvY2S2FLN,0,"['k-rap', 'korean r&b']",100455
3031, GSoul,4oEXworvhegyK83rZwVyWL,0,"['chill r&b', 'k-pop', 'korean r&b']",209640
3038, Fanxy Child,1CBjkH9nDLzLdyjXnwsXyv,0,[],4329
3046, DEAN,3eCd0TZrBPm2n9cDG6yWfF,0,"['k-pop', 'korean r&b']",1320877
3059, DJ Wegun,7p552gLGzaDKXB5sETgTEP,0,['k-rap'],13543
3073, SURAN,1mORehSVEd7lcaT2d7Sl2K,0,"['k-pop', 'korean r&b']",1052526
3087, J-Tong,70DqoppP3xK7LgtYiccxfZ,0,[],1107
3109, ZICO,4XpUIb8uuNlIWVKmgKZXC0,1,"['k-pop', 'k-rap', 'korean r&b']",1278300
3115,Basick,7pXKdkQsYFCMG2omRxheJ2,0,['k-rap'],42317
3123, B-Free,5xHC23kCM6goKp7bDDXE3T,0,['k-rap'],22885
3124, Paloalto,2Yv0nlRtzgPl6u0dsS2hFv,0,['k-rap'],44106
3143, Sojin,6oqIg9s1R1rEP5VsSqK0mw,0,[],678
3150, Ja Mezz,1q1Fe4tXiu1Weq4U0uhqPi,0,['k-rap'],25333
